Measurement,Iteration,Time,FPS,RAM,CPU
0,4.5,0.5172000000000001,58.76414834632618,207.10859375,32.72055126763719
1,4.5,1.0131999999999999,59.5932675369551,208.78671875,20.34535919564246
2,4.5,1.5094999999999998,59.9339175086012,209.15625,18.732917799173226
3,4.5,2.0082,59.969603312717496,209.203125,18.806438461094807
4,4.5,2.5091,59.56789200664267,210.65078125,21.848370467101347
5,4.5,3.0248999999999997,59.246478963963455,213.95234375,39.58422809550364
6,4.5,3.5244999999999997,59.598852312743816,215.548828125,30.606927559373098
7,4.5,4.0171,59.89763333211598,215.641015625,17.235465395252625
8,4.5,4.5187,59.89718435432852,215.808984375,19.12158063017932
9,4.5,5.0209,59.97329074137002,216.210546875,19.31611758114382
10,4.5,5.5222,59.839873772434395,216.598046875,16.93837989962507
11,4.5,6.0271,59.65656278676797,221.862890625,27.036728608203894
12,4.5,6.537000000000001,59.73951040275299,224.605859375,36.09735637644124
13,4.5,7.026000000000001,59.90628237118906,226.041796875,21.978670336248157
14,4.5,7.523000000000001,59.9799234789917,226.041796875,8.272832527320663
15,4.5,8.027,59.999474266909104,226.208984375,15.681517017563653
16,4.5,8.5295,59.97522060112711,226.37890625,22.290297705646744
17,4.5,9.0289,59.9479519867651,226.4515625,12.770727588281897
18,4.5,9.5378,59.375176608690914,226.559375,26.455048244014158
19,4.5,10.045,59.863206113473794,226.026171875,33.66739207822567
20,4.5,10.5405,59.80467728550316,223.83671875,25.298318261046294
21,4.5,11.0353,59.98893620498003,221.11796875,13.911932138858623
22,4.5,11.5349,59.97547302345038,221.11796875,8.082796793683364
23,4.5,12.0365,59.983968904588835,220.511328125,17.152561507607533
24,4.5,12.540600000000001,59.987818601902134,220.64453125,20.427262796094855
25,4.5,13.0401,59.981958048201065,218.960546875,14.38468472043672
26,4.5,13.5475,59.38913422640513,212.465234375,29.233224478021487
27,4.5,14.0549,59.870215760982035,210.2875,30.956695848056295
28,4.5,14.5504,59.82544824637294,209.2,23.332007356287285
29,4.5,15.045599999999999,59.97361494010687,209.183984375,10.784227069801139
30,4.5,15.5477,59.98758339222163,209.1359375,8.188946603031098
31,4.5,16.051,59.97377331042772,209.1453125,18.25384336453762
32,4.5,16.553199999999997,59.97981240456039,209.294140625,20.70612871297624
33,4.5,17.049500000000002,59.93474604727449,209.302734375,13.274260985412942
34,4.5,17.5609,59.37404242183955,209.48203125,28.83767104889453
35,4.5,18.0673,59.86654714741356,209.5546875,32.277853023510275
36,4.5,18.5631,59.77885618750522,209.573828125,25.833825275620825
37,4.5,19.0578,59.99156500858332,209.573828125,10.015993612716567
38,4.5,19.558699999999998,59.94927259755842,209.623828125,8.426012606348547
39,4.5,20.061799999999998,59.994589554345566,209.724609375,18.713723174521174
40,4.5,20.5651,59.964666365625,209.798828125,18.28579848065204
41,4.5,21.0623,59.870458162779165,209.8984375,17.029780750643756
42,4.5,21.5744,59.483425642409244,209.94296875,33.549935304979805
43,4.5,22.080599999999997,59.789266264629006,209.939453125,43.225815241168796
44,4.5,22.575200000000002,59.79708762816065,209.96015625,28.80944709141203
45,4.5,23.0713,59.95275747002421,209.984765625,14.642366054159979
46,4.5,23.5697,59.989712579989316,209.984765625,6.873123870086033
47,4.5,24.0711,59.99050590857551,209.984765625,8.38721319655859
48,4.5,24.5751,59.99744850539331,210.009375,8.53155939281842
49,4.5,25.077199999999998,59.99932951461686,210.009375,8.963159871357714
50,4.5,25.5792,59.99990240742299,210.009375,8.965116891039605
51,4.5,26.081799999999998,59.985645477872104,210.009375,9.550862680099627
52,4.5,26.583199999999998,60.0,210.009375,8.973036077915328
53,4.5,27.086599999999997,60.0,210.033984375,8.939427533694303
54,4.5,27.588900000000002,60.0,210.059375,9.359716566529846
55,4.5,28.089999999999996,59.99984320987771,210.084765625,8.979557052300938
56,4.5,28.593200000000003,60.0,210.084765625,9.929757594588402
57,4.5,29.0865,60.0,210.082421875,7.303263191235925
58,4.5,29.5856,59.997544814259015,210.082421875,5.440600085876888
59,4.5,30.086000000000002,60.0,210.082421875,3.608584109367385
60,4.5,30.594,59.995546907946064,210.082421875,4.129093283129741
61,4.5,31.0987,59.9980320147184,210.1078125,6.530918396560631
62,4.5,31.605,59.997398819449245,210.1078125,7.713103293241605
63,4.5,32.108999999999995,59.99989003011509,210.1078125,8.93643243252743
64,4.5,32.6098,59.99138258298708,210.158984375,8.589762691860432
